Index,Hospital Name,Nearby Cell Towers
2882,Johnson City Medical Center,41
2883,Ascension Saint Thomas Behavioral Health Hospital,15
2884,Holston Valley Medical Center,29
2885,Baptist Memorial Rehabilitation Hospital,56
2886,Crestwyn Behavioral Health,14
2887,Encompass Health Rehabilitation Hospital of Franklin,42
2888,Franklin Woods Community Hospital,15
2889,East Tennessee Children's Hospital,76
2890,Patricia Neal Rehabilitation Hospital,0
2891,Fort Sanders Regional Medical Center,80
2892,TriStar Ashland City Medical Center,0
2893,Parkwest Medical Center,68
2894,University of Tennessee Medical Center,29
2895,Macon Community Hospital,7
2896,Tennova Healthcare-LaFollette Medical Center,0
2897,Southern Tennessee Regional Health System-Lawrenceburg,3
2898,Marshall Medical Center TN,10
2899,Henderson County Community Hospital,13
2900,Livingston Regional Hospital,3
2901,Fort Loudoun Medical Center,17
2902,Unity Medical Center TN,13
2903,West Tennessee Healthcare Volunteer Hospital,14
2904,Blount Memorial Hospital,33
2905,Baptist Memorial Hospital - Memphis,35
2906,Lakeside Behavioral Health System,64
2907,Regional One Health,62
2908,TriStar Hendersonville Medical Center,26
2909,"Lt. Col. Luke Weathers, Jr. VA Medical Center",70
2910,Methodist Healthcare Memphis Hospitals,107
2911,Delta Specialty Hospital,21
2912,Saint Francis Hospital TN,112
2913,St. Jude Children's Research Hospital,87
2914,Memphis Mental Health Institute,75
2915,West Tennessee Healthcare Milan Hospital,13
2916,Morristown-Hamblen Healthcare System,9
2917,James H. Quillen Department of Veterans Affairs Medical Center,25
2918,Ascension Saint Thomas Rutherford,25
2919,Middle Tennessee Mental Health Institute,8
2920,Nashville General Hospital,62
2921,TriStar Skyline Medical Center,70
2922,TriStar Southern Hills Medical Center,61
2923,Ascension Saint Thomas Hospital,47
2924,Vanderbilt University Medical Center,194
2925,Tennova Newport Medical Center,6
2926,Methodist Medical Center of Oak Ridge,17
2927,Ridgeview Psychiatric Hospital and Center,19
2928,Henry County Medical Center,12
2929,Erlanger Bledsoe Hospital,3
2930,Southern Tennessee Regional Health System-Pulaski,1
2931,Lauderdale Community Hospital,6
2932,Hawkins County Memorial Hospital,14
2933,Hardin Medical Center,3
2934,LeConte Medical Center,12
2935,Southern Tennessee Regional Health System-Winchester,4
2936,Vanderbilt Bedford Hospital,1
2937,Ascension Saint Thomas Highlands,7
2938,TriStar NorthCrest Medical Center,10
2939,Sweetwater Hospital,6
2940,Claiborne Medical Center,17
2941,Vanderbilt Tullahoma Harton Hospital,6
2942,Baptist Memorial Hospital-Union City,8
2943,Ascension St. Thomas Three Rivers,1
2944,Wayne Medical Center,3
2945,Ascension Saint Thomas Stones River,1
2946,Jackson-Madison County General Hospital,44
2947,Encompass Health Rehabilitation Hospital of Chattanooga,43
2948,Houston County Community Hospital,5
2949,Baptist Memorial Hospital-Carroll County,1
2950,Ascension Saint Thomas DeKalb,5
2951,Unity Psychiatric Care-Columbia,26
2952,Unity Psychiatric Care-Martin,13
2953,Regional One Health Extended Care Hospital,69
2954,Big South Fork Medical Center,6
2955,Pinewood Springs,8
2956,Perimeter Behavioral Hospital of Jackson,33
2957,Unity Psych Care-Memphis,11
2958,Erlanger Behavioral Hospital,18
2959,Creekside Behavioral Health,28
2960,Behavioral Health of Rocky Top,9
2961,Select Specialty Hospital - West Tennessee,0
2962,Marshall Medical Center North,1
2963,Encompass Health Rehabilitation Hospital of North Alabama,80
2964,Mobile Infirmary Medical Center,19
2965,Central Alabama VA Medical Center-Montgomery,11
2966,Noland Hospital Montgomery,50
2967,Shelby Baptist Medical Center,14
2968,Decatur Morgan Hospital,10
2969,Encompass Health Rehabilitation Hospital of Dothan,18
2970,Noland Hospital Birmingham,22
2971,Select Specialty Hospital-Birmingham,48
2972,Laurel Oaks Behavioral Health Center,11
2973,Encompass Health Rehabilitation Hospital of Gadsden,26
2974,Taylor Hardin Secure Medical Facility,19
2975,Regional Rehabilitation Hospital,41
2976,Mary S Harper Geriatric Psychiatry Center,55
2977,Noland Hospital Anniston,22
2978,Noland Hospital Dothan,24
2979,Noland Hospital Tuscaloosa,217
2980,Jack Hughston Memorial Hospital,8
2981,Russell Medical,9
2982,Andalusia Health,6
2983,RMC Anniston,22
2984,RMC-Stringfellow Memorial Hospital,21
2985,Clay County Hospital AL,2
2986,Athens-Limestone Hospital,9
2987,Atmore Community Hospital,9
2988,North Baldwin Infirmary,8
2989,Medical West,31
2990,Princeton Baptist Medical Center,24
2991,Grandview Medical Center,59
2992,Children's of Alabama,169
2993,Brookwood Baptist Medical Center,48
2994,Ascension St. Vincent's East,22
2995,Hill Crest Behavioral Health Services,13
2996,Beacon Behavioral Hospital AL,4
2997,Baypointe Behavioral Health,10
2998,Infirmary Long Term Acute Care Hospital,19
2999,Noland Hospital Shelby,14
3000,Encompass Health Lakeshore Rehabilitation Hospital,18
3001,Ascension St. Vincent's Birmingham,107
3002,University of Alabama Hospital,207
3003,Birmingham VA Medical Center,162
3004,Marshall Medical Center South,0
3005,D. W. McMillan Memorial Hospital,3
3006,Atrium Health Floyd Cherokee Medical Center,3
3007,Bibb Medical Center,3
3008,Washington County Hospital AL,1
3009,Cullman Regional Medical Center,6
3010,Lake Martin Community Hospital,2
3011,Whitfield Regional Hospital,5
3012,Flowers Hospital,18
3013,Southeast Alabama Medical Center,24
3014,Community Hospital AL,1
3015,Medical Center Enterprise,10
3016,Ochsner Choctaw General,4
3017,EastPointe Hospital,1
3018,Medical Center Barbour,0
3019,Greene County Health System,6
3020,Unity Psychiatric Care-Huntsville,8
3021,Evergreen Medical Center,1
3022,Thomas Hospital,25
3023,Fayette Medical Center,6
3024,Ascension St. Vincent's Chilton,3
3025,North Alabama Medical Center,13
3026,South Baldwin Regional Medical Center,16
3027,DeKalb Regional Medical Center,11
3028,Gadsden Regional Medical Center,23
3029,Mountain View Hospital AL,9
3030,Riverview Regional Medical Center AL,30
3031,Wiregrass Medical Center,5
3032,Hale County Hospital,0
3033,Regional Medical Center of Central Alabama,4
3034,Grove Hill Memorial Hospital,6
3035,Huntsville Hospital,87
3036,North Mississippi Medical Center-Hamilton,7
3037,Crestwood Medical Center,40
3038,Jackson Medical Center,4
3039,Walker Baptist Medical Center,10
3040,Crenshaw Community Hospital,3
3041,USA Health Children's & Women's Hospital,16
3042,USA Health University Hospital,12
3043,USA Health Providence Hospital,21
3044,Springhill Medical Center AL,28
3045,Monroe County Hospital AL,1
3046,Jackson Hospital and Clinic,50
3047,Baptist Medical Center South,21
3048,Ascension St. Vincent's Blount,1
3049,East Alabama Medical Center,15
3050,Mizell Memorial Hospital,1
3051,Dale Medical Center,1
3052,Ascension St. Vincent's St. Clair,21
3053,Prattville Baptist Hospital,13
3054,Baptist Medical Center East,11
3055,Encompass Health Rehabilitation Hospital of Montgomery,7
3056,Russellville Hospital,8
3057,Highlands Medical Center,1
3058,Vaughan Regional Medical Center,5
3059,Helen Keller Hospital,24
3060,Coosa Valley Medical Center,10
3061,North Alabama Shoals Hospital,30
3062,Citizens Baptist Medical Center,7
3063,Bryce Hospital,55
3064,Troy Regional Medical Center,22
3065,DCH Regional Medical Center,36
3066,Tuscaloosa VA Medical Center,11
3067,Bullock County Hospital,8
3068,Elmore Community Hospital,2
3069,Bradford Health Services at Warrior Lodge,0
3070,Northwest Medical Center AL,4
3071,Hill Hospital of Sumter County,3
3072,Bradford Health Services at Huntsville,10
3073,Lakeland Community Hospital,11
3074,Lawrence Medical Center,7
3075,Red Bay Hospital,0
3076,Tanner Medical Center/East Alabama,2
3077,North Alabama Specialty Hospital,9
3078,Encompass Health Rehabilitation Hospital of Shelby County,36
3079,Thomasville Regional Medical Center,11
3080,Baptist Memorial Hospital-Golden Triangle,16
3081,Select Specialty Hospital - Belhaven,23
3082,University of Mississippi Medical Center,63
3083,Memorial Hospital at Stone County,1
3084,Mississippi State Hospital,5
3085,Mississippi Baptist Medical Center,23
3086,North Mississippi State Hospital,10
3087,Monroe Regional Hospital,4
3088,Ochsner Specialty Hospital,24
3089,South Mississippi State Hospital,1
3090,Ochsner Scott Regional,2
3091,Choctaw Regional Medical Center,2
3092,Brentwood Behavioral HealthCare of Mississippi,21
3093,Merit Health River Region,5
3094,North Mississippi Medical Center Gilmore-Amory,5
3095,Singing River Health System,21
3096,Regency Hospital of Meridian,49
3097,KPC Promise Hospital of Vicksburg,24
3098,Select Specialty Hospital-Jackson,61
3099,Select Specialty Hospital-Gulfport,25
3100,Greene County Hospital,0
3101,Delta Health-The Medical Center,4
3102,Jasper General Hospital,2
3103,Ochsner Medical Center - Hancock,10
3104,Merit Health Biloxi,79
3105,U. S. Air Force Medical Center Keesler,12
3106,Biloxi VA Medical Center,10
3107,Baptist Memorial Hospital-Booneville,4
3108,Merit Health Rankin,13
3109,King's Daughters Medical Center MS,4
3110,Baptist Memorial Hospital - Calhoun,0
3111,Merit Health Madison,2
3112,Baptist Medical Center - Leake,2
3113,Field Memorial Community Hospital,0
3114,Tallahatchie General Hospital,5
3115,Delta Health - Northwest Regional,3
3116,Bolivar Medical Center,9
3117,Covington County Hospital,2
3118,Marion General Hospital,1
3119,Magnolia Regional Health Center,7
3120,Merit Health Woman's Hospital,17
3121,South Central Regional Medical Center,20
3122,Lackey Memorial Hospital,7
3123,Greenwood Leflore Hospital,17
3124,Gulfport Behavioral Health System,1
3125,University of Mississippi Medical Center Grenada,2
3126,Singing River Gulfport,16
3127,Memorial Hospital at Gulfport,31
3128,Forrest General Hospital,40
3129,Merit Health Wesley,34
3130,Copiah County Medical Center,0
3131,Alliance HealthCare System,1
3132,Trace Regional Hospital,11
3133,South Sunflower County Hospital,7
3134,North Mississippi Medical Center-Iuka,4
3135,Merit Health Central,27
3136,Methodist Rehabilitation Center,56
3137,Merit Health River Oaks,16
3138,St. Dominic-Jackson Memorial Hospital,34
3139,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center,27
3140,Allegiance Specialty Hospital of Greenville,11
3141,Methodist Healthcare Olive Branch Hospital,22
3142,Baptist Medical Center - Attala,2
3143,Oceans Behavioral Hospital Biloxi,25
3144,"Encompass Health Rehabilitation Hospital, a partner of Memorial Hospital at Gulfport",32
3145,University of Mississippi Medical Center Holmes County,0
3146,Winston Medical Center,1
3147,George Regional Hospital,4
3148,Delta Health-Highland Hills,28
3149,Noxubee General Hospital,1
3150,Magee General Hospital,7
3151,Beacham Memorial Hospital,2
3152,Southwest Mississippi Regional Medical Center,29
3153,Franklin County Memorial Hospital MS,1
3154,Simpson General Hospital,0
3155,Baptist Anderson Regional Medical Center,31
3156,Parkwood Behavioral Health System,27
3157,East Mississippi State Hospital,6
3158,Baptist Anderson Regional Medical Center - South,49
3159,Ochsner Rush Medical Center,24
3160,Alliance Health Center,17
3161,Lawrence County Hospital,1
3162,Merit Health Natchez,18
3163,Baptist Memorial Hospital-Union County,24
3164,Baptist Memorial Hospital-North Mississippi,13
3165,Choctaw Health Center,22
3166,Highland Community Hospital,3
3167,North Mississippi Medical Center-Pontotoc,1
3168,Jefferson Davis Community Hospital,3
3169,Claiborne County Medical Center,3
3170,Ochsner Watkins Hospital,24
3171,Tippah County Hospital,15
3172,North Sunflower Medical Center,2
3173,OCH Regional Medical Center,10
3174,North Mississippi Medical Center - Tupelo,39
3175,Walthall General Hospital,2
3176,Ochsner Laird Hospital,8
3177,Yalobusha General Hospital,6
3178,North Mississippi Medical Center-West Point,7
3179,Wayne General Hospital,3
3180,Tyler Holmes Memorial Hospital,2
3181,Baptist Medical Center - Yazoo,10
3182,Baptist Memorial Hospital-Desoto,62
3183,Panola Medical Center,8
3184,Jefferson County Hospital MS,1
3185,North Mississippi Medical Center-Eupora,10
3186,Neshoba General,22
3187,Pearl River County Hospital,0
3188,Perry County General Hospital,1
3189,Sharkey-Issaquena Community Hospital,3
3190,Ochsner Stennis Hospital,2
3191,Patients Choice Medical Center of Smith County,2
3192,M Health Fairview University of Minnesota Medical Center,199
3193,M Health Fairview Lakes Medical Center,14
3194,Woodwinds Health Campus,45
3195,Essentia Health-Ada,0
3196,Community Behavioral Health Hospital - Alexandria,5
3197,Community Behavioral Health Hospital - Annandale,4
3198,Community Behavioral Health Hospital - Rochester,16
3199,Community Behavioral Health Hospital - Baxter,0
3200,Riverwood Healthcare Center,4
3201,Mayo Clinic Health System - Albert Lea and Austin,10
3202,Alomere Health,6
3203,Anoka Metro Regional Treatment Center,14
3204,Mercy Hospital MN,30
3205,Appleton Area Health,0
3206,Ridgeview Sibley Medical Center,3
3207,Essentia Health Northern Pines,9
3208,Sanford Bagley Medical Center,4
3209,CHI LakeWood Health,1
3210,Sanford Bemidji Medical Center,5
3211,CentraCare - Benson,2
3212,Bigfork Valley Hospital,1
3213,Maple Grove Hospital,18
3214,United Hospital District,3
3215,Essentia Health-St. Joseph's Medical Center,5
3216,CHI St. Francis Health,0
3217,Buffalo Hospital,19
3218,Community Behavioral Health Hospital - Bemidji,12
3219,Cambridge Medical Center,10
3220,Sanford Canby Medical Center,0
3221,Mayo Clinic Health System in Cannon Falls,4
3222,U. S. Public Health Service Indian Hospital MN,4
3223,Community Memorial Hospital MN,13
3224,Cook Hospital & Care Center,2
3225,RiverView Health MN,1
3226,Cuyuna Regional Medical Center,7
3227,Johnson Memorial Health Services,0
3228,Essentia Health-Deer River,1
3229,Essentia Health St. Mary's - Detroit Lakes,13
3230,Essentia Health Duluth,90
3231,St. Luke's Hospital MN,79
3232,Essentia Health St. Mary's Medical Center,89
3233,Elbow Lake Medical Center,0
3234,Ely-Bloomenson Community Hospital,8
3235,Mayo Clinic Health System in Fairmont,4
3236,Child and Adolescent Behavioral Health Services,5
3237,PrairieCare Brooklyn Park,39
3238,Children's Minnesota,214
3239,Mayo Clinic Hospital - Rochester,52
3240,Allina Health Faribault Medical Center,11
3241,Sanford Behavioral Health Center,8
3242,Community Behavioral Health Hospital - Fergus Falls,5
3243,M Health Fairview Bethesda Hospital,53
3244,Lake Region Healthcare Corporation,10
3245,Essentia Health-Fosston,1
3246,Glencoe Regional Health,3
3247,Glacial Ridge Health System,2
3248,Essentia Health-Graceville,0
3249,North Shore Health,0
3250,Grand Itasca Clinic and Hospital,2
3251,Avera Granite Falls,3
3252,Kittson Healthcare,0
3253,Hendricks Community Hospital Association,1
3254,Fairview Range,5
3255,Hutchinson Health,19
3256,Rainy Lake Medical Center,3
3257,Sanford Jackson Medical Center,0
3258,Mayo Clinic Health System in Lake City,4
3259,Ridgeview Le Sueur Medical Center,3
3260,Meeker Memorial Hospital and Clinics,8
3261,CHI St. Gabriel's Health,10
3262,CentraCare - Long Prairie,1
3263,Sanford Luverne Medical Center,2
3264,Madelia Health,1
3265,Madison Healthcare Services,1
3266,Mahnomen Health Center,0
3267,Mayo Clinic Health System in Mankato,18
3268,Avera Marshall Regional Medical Center,5
3269,CentraCare - Melrose,1
3270,Abbott Northwestern Hospital,290
3271,M Health Fairview St. John's Hospital,34
3272,Park Nicollet Methodist Hospital,40
3273,M Health Fairview Ridges Hospital,36
3274,Regency Hospital of Minneapolis,18
3275,M Health Fairview Southdale Hospital,80
3276,Hennepin Healthcare,791
3277,Minneapolis VA Health Care System,63
3278,CCM Health,2
3279,CentraCare - Monticello,7
3280,Essentia Health Moose Lake,0
3281,Welia Health,13
3282,Stevens Community Medical Center,3
3283,Mayo Clinic Health System in New Prague,10
3284,New Ulm Medical Center,3
3285,Northfield Hospital and Clinics,1
3286,HealthPartners Olivia Hospital & Clinic,4
3287,Mille Lacs Health System,8
3288,Ortonville Area Health Services,1
3289,Owatonna Hospital,16
3290,CHI St. Joseph's Health,4
3291,CentraCare Health Paynesville,1
3292,Perham Health,3
3293,Pipestone County Medical Center,2
3294,M Health Fairview Northland Medical Center,13
3295,Red Lake Indian Health Service Hospital,2
3296,Mayo Clinic Health System in Red Wing,9
3297,CentraCare - Redwood,0
3298,North Memorial Health Hospital,33
3299,Olmsted Medical Center,13
3300,LifeCare Medical Center,1
3301,CentraCare - St. Cloud Hospital,22
3302,St. Cloud VA Health Care System,66
3303,Mayo Clinic Health System in Saint James,3
3304,Regions Hospital,234
3305,United Hospital,263
3306,Gillette Children's Specialty Healthcare,187
3307,River's Edge Hospital and Clinic,4
3308,Essentia Health Sandstone,9
3309,CentraCare - Sauk Centre,3
3310,St. Francis Regional Medical Center,17
3311,Murray County Medical Center,5
3312,Sleepy Eye Medical Center,3
3313,Lakewood Health System,3
3314,Lakeview Hospital MN,16
3315,Sanford Thief River Falls Medical Center,1
3316,Sanford Tracy Medical Center,1
3317,Lake View Hospital,6
3318,Avera Tyler,0
3319,Essentia Health-Virginia,5
3320,Gundersen Saint Elizabeth's Hospital & Clinics,4
3321,Ridgeview Medical Center,23
3322,Astera Health,11
3323,North Valley Health Center,3
3324,Mayo Clinic Health System in Waseca,13
3325,Sanford Westbrook Medical Center,2
3326,Sanford Wheaton Medical Center,0
3327,CentraCare - Rice Memorial Hospital,5
3328,Windom Area Health,3
3329,Winona Health,21
3330,Sanford Worthington Medical Center,2
3331,MercyOne North Iowa Medical Center,11
3332,MercyOne Des Moines Medical Center,105
3333,Genesis Medical Center - Davenport,21
3334,Des Moines VA Medical Center,28
3335,Select Specialty Hospital-Quad Cities,9
3336,Monroe County Hospital and Clinics,4
3337,Kossuth Regional Health Center,1
3338,Mary Greeley Medical Center,22
3339,UnityPoint Health - Jones Regional Medical Center,18
3340,Cass Health,4
3341,Audubon County Memorial Hospital and Clinics,0
3342,Iowa Specialty Hospital-Belmond,3
3343,Davis County Hospital and Clinics,2
3344,Boone County Hospital,5
3345,Hancock County Health System,1
3346,"Southeast Iowa Regional Medical Center, West Burlington Campus",0
3347,St. Anthony Regional Hospital,6
3348,MercyOne Cedar Falls Medical Center,9
3349,Mercy Medical Center - Cedar Rapids,63
3350,UnityPoint Health - St. Luke's Hospital,67
3351,MercyOne Centerville Medical Center,0
3352,Lucas County Health Center,2
3353,Floyd County Medical Center,1
3354,Cherokee Mental Health Institute,0
3355,Cherokee Regional Medical Center,10
3356,Clarinda Regional Health Center,1
3357,Iowa Specialty Hospital-Clarion,0
3358,MercyOne Clinton Medical Center,17
3359,CHI Health Mercy Corning,0
3360,Wayne County Hospital and Clinic System,0
3361,Methodist Jennie Edmundson Hospital,18
3362,CHI Health Mercy Council Bluffs,25
3363,Regional Health Services of Howard County,0
3364,Greater Regional Health,1
3365,UnityPoint Health - Trinity Bettendorf,20
3366,WinnMed,1
3367,Crawford County Memorial Hospital,0
3368,Broadlawns Medical Center,32
3369,Select Specialty Hospital-Des Moines,106
3370,UnityPoint Health - Iowa Methodist Medical Center,125
3371,MercyOne Clive Rehabilitation Hospital,11
3372,Mercy Iowa City Rehabilitation Hospital,14
3373,University of Iowa Health Network Rehabilitation Hospital,2
3374,Eagle View Behavioral Health,30
3375,"Genesis Medical Center, DeWitt",6
3376,UnityPoint Health - Finley Hospital,28
3377,MercyOne Dubuque Medical Center,22
3378,MercyOne Dyersville Medical Center,1
3379,MercyOne Elkader Medical Center,0
3380,Palo Alto County Health System,3
3381,Avera Holy Family Hospital,2
3382,Jefferson County Health Center,4
3383,UnityPoint Health - Trinity Regional Medical Center,7
3384,Adair County Health System,0
3385,UnityPoint Health - Grinnell Regional Medical Center,4
3386,Grundy County Memorial Hospital,1
3387,Guthrie County Hospital,0
3388,Guttenberg Municipal Hospital and Clinics,3
3389,George C. Grape Community Hospital,0
3390,Franklin General Hospital,0
3391,Myrtue Medical Center,3
3392,Hawarden Regional Healthcare,1
3393,Humboldt County Memorial Hospital,3
3394,Horn Memorial Hospital,1
3395,Independence Mental Health Institute,0
3396,Buchanan County Health Center,2
3397,University of Iowa Health Care Medical Center Downtown,102
3398,University of Iowa Health Care Medical Center,142
3399,Iowa City VA Health System,85
3400,Hansen Family Hospital,0
3401,Greene County Medical Center,1
3402,Van Buren County Hospital,0
3403,Knoxville Hospital & Clinics,10
3404,Stewart Memorial Community Hospital,0
3405,Floyd Valley Healthcare,0
3406,Decatur County Hospital,1
3407,Regional Medical Center,1
3408,Jackson County Regional Health Center,6
3409,Compass Memorial Healthcare,1
3410,UnityPoint Health - Marshalltown,9
3411,CHI Health Missouri Valley,7
3412,Henry County Health Center,4
3413,Ringgold County Hospital,0
3414,UnityPoint Health - Trinity Muscatine,19
3415,Story County Medical Center,3
3416,MercyOne New Hampton Medical Center,4
3417,MercyOne Newton Medical Center,4
3418,Iowa Medical and Classification Center,2
3419,MercyOne Oelwein Medical Center,2
3420,Burgess Health Center,3
3421,Orange City Area Health System,4
3422,Mitchell County Regional Health Center,1
3423,Clarke County Hospital,5
3424,Mahaska Health,1
3425,Ottumwa Regional Health Center,0
3426,Pella Regional Health Center,3
3427,Dallas County Hospital,3
3428,Pocahontas Community Hospital,0
3429,MercyOne Primghar Medical Center,0
3430,Montgomery County Memorial Hospital,0
3431,Hegg Health Center Avera,0
3432,Loring Hospital,0
3433,Sanford Sheldon Medical Center,3
3434,Shenandoah Medical Center,0
3435,Osceola Regional Health Center,0
3436,Sioux Center Health,4
3437,UnityPoint Health - St. Lukes's Sioux City,20
3438,MercyOne Siouxland Medical Center,37
3439,Spencer Hospital,12
3440,Lakes Regional Healthcare,9
3441,Buena Vista Regional Medical Center,5
3442,Community Memorial Hospital IA,2
3443,Virginia Gay Hospital,1
3444,Washington County Hospital and Clinics,5
3445,UnityPoint Health - Allen Hospital,17
3446,MercyOne Waterloo Medical Center,26
3447,Veterans Memorial Hospital,6
3448,Waverly Health Center,8
3449,Van Diest Medical Center,3
3450,Gundersen Palmer Lutheran Hospital and Clinics,0
3451,Madison County Health Care System,7
3452,Manning Regional Healthcare Center,0
3453,Keokuk County Health Center,0
3454,Avera Merrill Pioneer Hospital,3
3455,Clive Behavioral Health,70
3456,Saint Luke's North Hospital - Barry Road,57
3457,Parkland Health Center - Farmington Community,17
3458,Ellett Memorial Hospital,1
3459,Freeman Health System,26
3460,Mosaic Life Care at St. Joseph - Medical Center,8
3461,Mercy Hospital Aurora,2
3462,Capital Region Medical Center,35
3463,Northwest Missouri Psychiatric Rehabilitation Center,12
3464,Rusk Rehabilitation Hospital,51
3465,Poplar Bluff Regional Medical Center,15
3466,The Rehabilitation Institute of St. Louis,110
3467,Select Specialty Hospital-St. Louis,42
3468,Ranken Jordan Pediatric Bridge Hospital,21
3469,Harrison County Community Hospital,9
3470,Saint Luke's East Hospital,46
3471,Parkland Health Center-Bonne Terre,8
3472,Landmark Hospital of Cape Girardeau,34
3473,Progress West Hospital,35
3474,Belton Regional Medical Center,48
3475,Iron County Medical Center,2
3476,Centerpoint Medical Center,25
3477,Mercy Rehabilitation Hospital St. Louis,45
3478,Landmark Hospital of Joplin,16
3479,Kindred Hospital Northland,32
3480,Select Specialty Hospital-Springfield,42
3481,Cox Medical Center Branson,27
3482,Bates County Memorial Hospital,2
3483,Citizens Memorial Hospital,2
3484,Cameron Regional Medical Center,10
3485,St. Mary's Medical Center MO,133
3486,Saint Francis Medical Center,50
3487,St. Luke's Hospital MO,54
3488,Mercy Hospital Southeast,20
3489,Carroll County Memorial Hospital MO,0
3490,Mercy Hospital Carthage,13
3491,Hedrick Medical Center,3
3492,"Long-Term Acute Care Hospital, Mosaic Life Care at St. Joseph",8
3493,Golden Valley Memorial Healthcare,6
3494,Boone Hospital Center,42
3495,University Hospital MO,263
3496,Cedar County Memorial Hospital,7
3497,Mercy Hospital Stoddard,14
3498,Excelsior Springs Hospital,3
3499,Harry S. Truman Memorial Veterans' Hospital,257
3500,St. Luke's Rehabilitation Hospital MO,8
3501,Community Hospital-Fairfax,0
3502,Landmark Hospital of Columbia,24
3503,Southeast Missouri Mental Health Center,17
3504,Christian Hospital,45
3505,Mercy Hospital Jefferson,16
3506,General Leonard Wood Army Community Hospital,6
3507,Madison Medical Center,6
3508,Fulton State Hospital,19
3509,Hannibal Regional Hospital,5
3510,Cass Regional Medical Center,13
3511,Pemiscot Memorial Health System,0
3512,John J. Cochran Veterans Hospital,50
3513,SSM Health St. Mary's Hospital - Jefferson City,28
3514,Mercy Hospital Joplin,22
3515,Children's Mercy Kansas City,154
3516,University Health-Truman Medical Center,122
3517,University Health-Lakewood Medical Center,21
3518,Research Medical Center,63
3519,St. Joseph Medical Center MO,45
3520,SSM Select Rehabilitation Hospital,76
3521,Saint Luke's Hospital of Kansas City,144
3522,Signature Psychiatric Hospital,45
3523,Mercy Rehabilition Hospital Springfield,33
3524,Kansas City VA Medical Center,18
3525,SSM Health St. Clare Hospital - Fenton,29
3526,SSM Health St. Joseph Hospital - Lake Saint Louis,36
3527,Cox Barton County Memorial Hospital,9
3528,Mercy Hospital Lebanon,8
3529,Lafayette Regional Health Center,1
3530,Lee's Summit Medical Center,12
3531,Liberty Hospital,29
3532,Samaritan Hospital,25
3533,Fitzgibbon Hospital,2
3534,Mosaic Medical Center - Maryville,8
3535,Scotland County Hospital,0
3536,Cox Monett Hospital,10
3537,Mercy St. Francis Hospital,5
3538,Freeman Neosho Hospital,17
3539,Nevada Regional Medical Center,4
3540,Heartland Behavioral Health Services,1
3541,North Kansas City Hospital,59
3542,Lake Regional Health System,14
3543,Perry County Memorial Hospital MO,23
3544,John J. Pershing Veterans' Administration Medical Center,27
3545,Washington County Memorial Hospital,6
3546,Ray County Memorial Hospital,2
3547,Phelps Health,33
3548,SSM Health St. Joseph - St. Charles,42
3549,CenterPointe Hospital,14
3550,Barnes-Jewish Hospital,182
3551,Ste. Genevieve County Memorial Hospital,15
3552,SSM Health Cardinal Glennon Children's Hospital,76
3553,SSM Health DePaul Hospital - St. Louis,72
3554,SSM Health St. Mary's Hospital - St. Louis,207
3555,Barnes-Jewish West County Hospital,57
3556,SSM Health Saint Louis University Hospital,56
3557,Metropolitan St. Louis Psychiatric Center,30
3558,Missouri Baptist Medical Center,107
3559,Kindred Hospital-St. Louis,104
3560,Mercy Hospital South,30
3561,Mercy Hospital St. Louis,98
3562,St. Louis Children's Hospital,148
3563,St. Louis Forensic Treatment Center,17
3564,Hawthorn Children Psychiatric Hospital,18
3565,Shriners Hospitals for Children-St. Louis,112
3566,Barnes-Jewish St. Peters Hospital,42
3567,Salem Memorial District Hospital,6
3568,Bothwell Regional Health Center,22
3569,Missouri Delta Medical Center,24
3570,Cox Medical Centers,43
3571,Mercy Hospital Springfield,73
3572,Lakeland Behavioral Health System,91
3573,Missouri Baptist Sullivan Hospital,2
3574,Mercy Hospital Lincoln,29
3575,Wright Memorial Hospital,0
3576,Western Missouri Medical Center,13
3577,Mercy Hospital Washington,12
3578,Northeast Regional Medical Center,15
3579,Ozarks Healthcare,19
3580,Mosaic Medical Center - Albany,4
3581,Pershing Memorial Hospital,4
3582,Mercy Hospital Cassville,1
3583,Hermann Area District Hospital,0
3584,Texas County Memorial Hospital,3
3585,Center for Behavioral Medicine,91
3586,Pike County Memorial Hospital,3
3587,Sullivan County Memorial Hospital,0
3588,Moberly Regional Medical Center,7
3589,St. Luke's Des Peres Hospital,49
3590,Putnam County Memorial Hospital,2
3591,Royal Oaks Hospital,8
3592,Osage Beach Center For Behavioral Health,1
3593,CenterPointe Hospital of Columbia,14
3594,Perimeter Behavioral Hospital of Springfield,18
3595,Maryland Heights Center for Behavioral Health,0
3596,Mercy Rehabilitation Hospital South,0
3597,Altru Health System,30
3598,Essentia Health Fargo,28
3599,Trinity Health,24
3600,Ashley Medical Center,2
3601,Prairie St. John's,16
3602,Quentin N. Burdick Memorial Healthcare Facility,7
3603,Vibra Hospital of Fargo,25
3604,Vibra Hospital of Central Dakotas,5
3605,Sanford Medical Center Bismarck,31
3606,CHI St. Alexius Health Bismarck,26
3607,SMP Health - St. Andrew's,1
3608,Southwest Healthcare Services,0
3609,Towner County Medical Center,1
3610,CHI St Alexius Health Carrington,2
3611,Pembina County Memorial Hospital and Wedgewood Manor,4
3612,Dakota Regional Medical Center,0
