,Hospital Name,Nearby Cell Towers
2976,Mary S Harper Geriatric Psychiatry Center,0,0,0
2977,Noland Hospital Anniston,0,0,0
2978,Noland Hospital Dothan,0,0,0
2979,Noland Hospital Tuscaloosa,0,0,0
2980,Jack Hughston Memorial Hospital,0,0,3
2981,Russell Medical,0,0,0
2982,Andalusia Health,0,0,1
2983,RMC Anniston,0,0,0
2984,RMC-Stringfellow Memorial Hospital,0,0,1
2985,Clay County Hospital,0,0,0
2986,Athens-Limestone Hospital,0,0,0
2987,Atmore Community Hospital,0,0,0
2988,North Baldwin Infirmary,0,0,0
2989,Medical West,0,0,0
2990,Princeton Baptist Medical Center,0,0,14
2991,Grandview Medical Center,0,0,4
2992,Children's of Alabama,0,0,9
2993,Brookwood Baptist Medical Center,0,0,0
2994,Ascension St. Vincent's East,0,0,1
2995,Hill Crest Behavioral Health Services,0,0,3
2996,Beacon Behavioral Hospital,0,0,0
2997,Baypointe Behavioral Health,0,0,0
2998,Infirmary Long Term Acute Care Hospital,0,0,0
2999,Noland Hospital Shelby,0,0,0
3000,Encompass Health Lakeshore Rehabilitation Hospital,0,0,1
3001,Ascension St. Vincent's Birmingham,0,0,3
3002,University of Alabama Hospital,0,0,3
3003,Birmingham VA Medical Center,0,0,3
3004,Marshall Medical Center South,0,0,0
3005,D. W. McMillan Memorial Hospital,0,0,1
3006,Atrium Health Floyd Cherokee Medical Center,0,0,0
3007,Bibb Medical Center,0,0,0
3008,Washington County Hospital,0,0,0
3009,Cullman Regional Medical Center,0,0,0
3010,Lake Martin Community Hospital,0,0,0
3011,Whitfield Regional Hospital,0,0,0
3012,Flowers Hospital,0,0,0
3013,Southeast Alabama Medical Center,0,0,0
3014,Community Hospital,0,0,0
3015,Medical Center Enterprise,0,0,0
3016,Ochsner Choctaw General,0,0,0
3017,EastPointe Hospital,0,0,0
3018,Medical Center Barbour,0,0,0
3019,Greene County Health System,0,0,1
3020,Unity Psychiatric Care-Huntsville,0,0,1
3021,Evergreen Medical Center,0,0,0
3022,Thomas Hospital,0,0,0
3023,Fayette Medical Center,0,0,0
3024,Ascension St. Vincent's Chilton,0,0,3
3025,North Alabama Medical Center,0,0,0
3026,South Baldwin Regional Medical Center,0,0,1
3027,DeKalb Regional Medical Center,0,0,0
3028,Gadsden Regional Medical Center,0,0,0
3029,Mountain View Hospital,0,0,0
3030,Riverview Regional Medical Center,0,0,0
3031,Wiregrass Medical Center,0,0,0
3032,Hale County Hospital,0,0,0
3033,Regional Medical Center of Central Alabama,0,0,1
3034,Grove Hill Memorial Hospital,0,0,2
3035,Huntsville Hospital,0,0,21
3036,North Mississippi Medical Center-Hamilton,0,0,0
3037,Crestwood Medical Center,0,0,6
3038,Jackson Medical Center,0,0,1
3039,Walker Baptist Medical Center,0,0,0
3040,Crenshaw Community Hospital,0,0,0
3041,USA Health Children's & Women's Hospital,0,0,0
3042,USA Health University Hospital,0,0,0
3043,USA Health Providence Hospital,0,0,0
3044,Springhill Medical Center,0,0,11
3045,Monroe County Hospital,0,0,0
3046,Jackson Hospital and Clinic,0,0,4
3047,Baptist Medical Center South,0,0,0
3048,Ascension St. Vincent's Blount,0,0,3
3049,East Alabama Medical Center,0,0,3
3050,Mizell Memorial Hospital,0,0,0
3051,Dale Medical Center,0,0,1
3052,Ascension St. Vincent's St. Clair,0,0,4
3053,Prattville Baptist Hospital,0,0,3
3054,Baptist Medical Center East,0,0,0
3055,Encompass Health Rehabilitation Hospital of Montgomery,0,0,1
3056,Russellville Hospital,0,0,0
3057,Highlands Medical Center,0,0,0
3058,Vaughan Regional Medical Center,0,0,0
3059,Helen Keller Hospital,0,0,0
3060,Coosa Valley Medical Center,0,0,0
3061,North Alabama Shoals Hospital,0,0,2
3062,Citizens Baptist Medical Center,0,0,0
3063,Bryce Hospital,0,0,0
3064,Troy Regional Medical Center,0,0,0
3065,DCH Regional Medical Center,0,0,0
3066,Tuscaloosa VA Medical Center,0,0,1
3067,Bullock County Hospital,0,0,0
3068,Elmore Community Hospital,0,0,0
3069,Bradford Health Services at Warrior Lodge,0,0,0
3070,Northwest Medical Center,0,0,0
3071,Hill Hospital of Sumter County,0,0,0
3072,Bradford Health Services at Huntsville,0,0,2
3073,Lakeland Community Hospital,0,0,0
3074,Lawrence Medical Center,0,0,0
3075,Red Bay Hospital,0,0,0
3076,Tanner Medical Center/East Alabama,0,0,0
3077,North Alabama Specialty Hospital,0,0,0
3078,Encompass Health Rehabilitation Hospital of Shelby County,0,1,4
3079,Thomasville Regional Medical Center,0,0,0
3080,Baptist Memorial Hospital-Golden Triangle,0,1,16
3081,Select Specialty Hospital - Belhaven,0,0,0
3082,University of Mississippi Medical Center,0,0,2
3083,Memorial Hospital at Stone County,0,0,0
3084,Mississippi State Hospital,0,0,0
3085,Mississippi Baptist Medical Center,0,0,0
3086,North Mississippi State Hospital,0,0,0
3087,Monroe Regional Hospital,0,0,0
3088,Ochsner Specialty Hospital,0,0,0
3089,South Mississippi State Hospital,0,0,0
3090,Ochsner Scott Regional,0,0,1
3091,Choctaw Regional Medical Center,0,0,2
3092,Brentwood Behavioral HealthCare of Mississippi,0,0,0
3093,Merit Health River Region,0,0,0
3094,North Mississippi Medical Center Gilmore-Amory,0,0,0
3095,Singing River Health System,0,0,0
3096,Regency Hospital of Meridian,0,0,0
3097,KPC Promise Hospital of Vicksburg,0,0,2
3098,Select Specialty Hospital-Jackson,0,0,3
3099,Select Specialty Hospital-Gulfport,0,0,0
3100,Greene County Hospital,0,0,0
3101,Delta Health-The Medical Center,0,0,0
3102,Jasper General Hospital,0,0,0
3103,Ochsner Medical Center - Hancock,0,0,1
3104,Merit Health Biloxi,0,0,10
3105,U. S. Air Force Medical Center Keesler,0,0,0
3106,Biloxi VA Medical Center,0,0,0
3107,Baptist Memorial Hospital-Booneville,0,0,0
3108,Merit Health Rankin,0,1,5
3109,King's Daughters Medical Center,0,0,1
3110,Baptist Memorial Hospital - Calhoun,0,0,0
3111,Merit Health Madison,0,0,0
3112,Baptist Medical Center - Leake,0,0,0
3113,Field Memorial Community Hospital,0,0,0
3114,Tallahatchie General Hospital,0,0,0
3115,Delta Health - Northwest Regional,0,0,0
3116,Bolivar Medical Center,0,0,0
3117,Covington County Hospital,0,0,1
3118,Marion General Hospital,0,0,0
3119,Magnolia Regional Health Center,0,0,0
3120,Merit Health Woman's Hospital,0,0,0
3121,South Central Regional Medical Center,0,0,0
3122,Lackey Memorial Hospital,0,0,1
3123,Greenwood Leflore Hospital,0,0,0
3124,Gulfport Behavioral Health System,0,0,2
3125,University of Mississippi Medical Center Grenada,0,0,0
3126,Singing River Gulfport,0,0,11
3127,Memorial Hospital at Gulfport,0,0,1
3128,Forrest General Hospital,0,0,0
3129,Merit Health Wesley,0,1,2
3130,Copiah County Medical Center,0,0,0
3131,Alliance HealthCare System,0,0,0
3132,Trace Regional Hospital,0,0,0
3133,South Sunflower County Hospital,0,0,0
3134,North Mississippi Medical Center-Iuka,0,0,0
3135,Merit Health Central,0,0,1
3136,Methodist Rehabilitation Center,0,0,2
3137,Merit Health River Oaks,0,0,0
3138,St. Dominic-Jackson Memorial Hospital,0,0,1
3139,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center,0,0,3
3140,Allegiance Specialty Hospital of Greenville,0,0,0
3141,Methodist Healthcare Olive Branch Hospital,0,0,0
3142,Baptist Medical Center - Attala,0,0,0
3143,Oceans Behavioral Hospital Biloxi,0,0,5
3144,"Encompass Health Rehabilitation Hospital, a partner of Memorial Hospital at Gulfport",0,0,1
3145,University of Mississippi Medical Center Holmes County,0,0,0
3146,Winston Medical Center,0,0,0
3147,George Regional Hospital,0,0,0
3148,Delta Health-Highland Hills,0,0,10
3149,Noxubee General Hospital,0,0,0
3150,Magee General Hospital,0,1,0
3151,Beacham Memorial Hospital,0,0,0
3152,Southwest Mississippi Regional Medical Center,0,0,2
3153,Franklin County Memorial Hospital,0,0,0
3154,Simpson General Hospital,0,0,0
3155,Baptist Anderson Regional Medical Center,0,0,0
3156,Parkwood Behavioral Health System,0,0,0
3157,East Mississippi State Hospital,0,0,0
3158,Baptist Anderson Regional Medical Center - South,0,0,0
3159,Ochsner Rush Medical Center,0,0,0
3160,Alliance Health Center,0,0,3
3161,Lawrence County Hospital,0,0,0
3162,Merit Health Natchez,0,0,1
3163,Baptist Memorial Hospital-Union County,0,0,4
3164,Baptist Memorial Hospital-North Mississippi,0,0,0
3165,Choctaw Health Center,0,0,0
3166,Highland Community Hospital,0,0,4
3167,North Mississippi Medical Center-Pontotoc,0,0,0
3168,Jefferson Davis Community Hospital,0,0,0
3169,Claiborne County Medical Center,0,0,0
3170,Ochsner Watkins Hospital,0,0,0
3171,Tippah County Hospital,0,0,0
3172,North Sunflower Medical Center,0,0,0
3173,OCH Regional Medical Center,0,1,14
3174,North Mississippi Medical Center - Tupelo,0,0,0
3175,Walthall General Hospital,0,0,0
3176,Ochsner Laird Hospital,0,0,0
3177,Yalobusha General Hospital,0,0,0
3178,North Mississippi Medical Center-West Point,0,0,2
3179,Wayne General Hospital,0,0,0
3180,Tyler Holmes Memorial Hospital,0,0,0
3181,Baptist Medical Center - Yazoo,0,0,0
3182,Baptist Memorial Hospital-Desoto,0,0,5
3183,Panola Medical Center,0,0,2
3184,Jefferson County Hospital,0,0,0
3185,North Mississippi Medical Center-Eupora,0,0,0
3186,Neshoba General,0,0,0
3187,Pearl River County Hospital,0,0,0
3188,Perry County General Hospital,0,0,0
3189,Sharkey-Issaquena Community Hospital,0,0,0
3190,Ochsner Stennis Hospital,0,0,0
3191,Patients Choice Medical Center of Smith County,0,0,0
3192,M Health Fairview University of Minnesota Medical Center,0,0,68
3193,M Health Fairview Lakes Medical Center,0,1,5
3194,Woodwinds Health Campus,0,0,7
3195,Essentia Health-Ada,0,0,0
3196,Community Behavioral Health Hospital - Alexandria,0,0,0
3197,Community Behavioral Health Hospital - Annandale,0,0,0
3198,Community Behavioral Health Hospital - Rochester,0,0,4
3199,Community Behavioral Health Hospital - Baxter,0,0,0
3200,Riverwood Healthcare Center,0,0,1
3201,Mayo Clinic Health System - Albert Lea and Austin,0,0,2
3202,Alomere Health,0,0,0
3203,Anoka Metro Regional Treatment Center,0,0,4
3204,Mercy Hospital,0,0,1
3205,Appleton Area Health,0,0,0
3206,Ridgeview Sibley Medical Center,0,1,1
3207,Essentia Health Northern Pines,0,0,8
3208,Sanford Bagley Medical Center,0,0,0
3209,CHI LakeWood Health,0,0,0
3210,Sanford Bemidji Medical Center,0,0,0
3211,CentraCare - Benson,0,0,0
3212,Bigfork Valley Hospital,0,0,0
3213,Maple Grove Hospital,0,0,3
3214,United Hospital District,0,0,0
3215,Essentia Health-St. Joseph's Medical Center,0,0,4
3216,CHI St. Francis Health,0,0,0
3217,Buffalo Hospital,0,0,0
3218,Community Behavioral Health Hospital - Bemidji,0,0,0
3219,Cambridge Medical Center,0,0,0
3220,Sanford Canby Medical Center,0,0,0
3221,Mayo Clinic Health System in Cannon Falls,0,0,1
3222,U. S. Public Health Service Indian Hospital,0,0,0
3223,Community Memorial Hospital,0,0,0
3224,Cook Hospital & Care Center,0,0,1
3225,RiverView Health,0,0,0
3226,Cuyuna Regional Medical Center,0,0,5
3227,Johnson Memorial Health Services,0,0,0
3228,Essentia Health-Deer River,0,0,0
3229,Essentia Health St. Mary's - Detroit Lakes,0,0,3
3230,Essentia Health Duluth,0,0,27
3231,St. Luke's Hospital,0,1,26
3232,Essentia Health St. Mary's Medical Center,0,0,29
3233,Elbow Lake Medical Center,0,0,0
3234,Ely-Bloomenson Community Hospital,0,0,7
3235,Mayo Clinic Health System in Fairmont,0,0,0
3236,Child and Adolescent Behavioral Health Services,0,0,0
3237,PrairieCare Brooklyn Park,0,1,5
3238,Children's Minnesota,0,2,106
3239,Mayo Clinic Hospital - Rochester,0,0,19
3240,Allina Health Faribault Medical Center,0,0,0
3241,Sanford Behavioral Health Center,0,0,0
3242,Community Behavioral Health Hospital - Fergus Falls,0,0,1
3243,M Health Fairview Bethesda Hospital,0,0,10
3244,Lake Region Healthcare Corporation,0,0,0
3245,Essentia Health-Fosston,0,0,0
3246,Glencoe Regional Health,0,0,8
3247,Glacial Ridge Health System,0,0,0
3248,Essentia Health-Graceville,0,0,20
3249,North Shore Health,0,0,0
3250,Grand Itasca Clinic and Hospital,0,0,0
3251,Avera Granite Falls,0,0,0
3252,Kittson Healthcare,0,0,0
3253,Hendricks Community Hospital Association,0,0,0
3254,Fairview Range,0,0,2
3255,Hutchinson Health,0,0,7
3256,Rainy Lake Medical Center,0,0,0
3257,Sanford Jackson Medical Center,0,0,0
3258,Mayo Clinic Health System in Lake City,0,0,2
3259,Ridgeview Le Sueur Medical Center,0,0,1
3260,Meeker Memorial Hospital and Clinics,0,0,0
3261,CHI St. Gabriel's Health,0,0,3
3262,CentraCare - Long Prairie,0,0,0
3263,Sanford Luverne Medical Center,0,0,0
3264,Madelia Health,0,0,0
3265,Madison Healthcare Services,0,0,0
3266,Mahnomen Health Center,0,0,0
3267,Mayo Clinic Health System in Mankato,0,0,12
3268,Avera Marshall Regional Medical Center,0,0,0
3269,CentraCare - Melrose,0,0,0
3270,Abbott Northwestern Hospital,0,0,106
3271,M Health Fairview St. John's Hospital,0,0,5
3272,Park Nicollet Methodist Hospital,0,0,2
3273,M Health Fairview Ridges Hospital,0,0,16
3274,Regency Hospital of Minneapolis,0,0,4
3275,M Health Fairview Southdale Hospital,0,0,19
3276,Hennepin Healthcare,0,0,268
3277,Minneapolis VA Health Care System,0,0,6
3278,CCM Health,0,0,0
3279,CentraCare - Monticello,0,0,4
3280,Essentia Health Moose Lake,0,0,0
3281,Welia Health,0,0,0
3282,Stevens Community Medical Center,0,0,0
3283,Mayo Clinic Health System in New Prague,0,0,3
3284,New Ulm Medical Center,0,0,3
3285,Northfield Hospital and Clinics,0,0,0
3286,HealthPartners Olivia Hospital & Clinic,0,0,0
3287,Mille Lacs Health System,0,0,0
3288,Ortonville Area Health Services,0,0,0
3289,Owatonna Hospital,0,0,6
3290,CHI St. Joseph's Health,0,0,1
3291,CentraCare Health Paynesville,0,0,0
3292,Perham Health,0,0,0
3293,Pipestone County Medical Center,0,0,0
3294,M Health Fairview Northland Medical Center,0,0,3
3295,Red Lake Indian Health Service Hospital,0,0,0
3296,Mayo Clinic Health System in Red Wing,0,0,1
3297,CentraCare - Redwood,0,0,0
3298,North Memorial Health Hospital,0,0,1
3299,Olmsted Medical Center,0,0,0
3300,LifeCare Medical Center,0,0,0
3301,CentraCare - St. Cloud Hospital,0,0,0
3302,St. Cloud VA Health Care System,0,0,0
3303,Mayo Clinic Health System in Saint James,0,0,0
3304,Regions Hospital,0,0,45
3305,United Hospital,0,1,87
3306,Gillette Children's Specialty Healthcare,0,0,40
3307,River's Edge Hospital and Clinic,0,0,1
3308,Essentia Health Sandstone,0,0,0
3309,CentraCare - Sauk Centre,0,0,0
3310,St. Francis Regional Medical Center,0,0,10
3311,Murray County Medical Center,0,0,0
3312,Sleepy Eye Medical Center,0,0,0
3313,Lakewood Health System,0,0,2
3314,Lakeview Hospital,0,0,0
3315,Sanford Thief River Falls Medical Center,0,0,0
3316,Sanford Tracy Medical Center,0,0,0
3317,Lake View Hospital,0,0,0
3318,Avera Tyler,0,0,0
3319,Essentia Health-Virginia,0,0,2
3320,Gundersen Saint Elizabeth's Hospital & Clinics,0,0,1
3321,Ridgeview Medical Center,0,0,7
3322,Astera Health,0,0,3
3323,North Valley Health Center,0,0,0
3324,Mayo Clinic Health System in Waseca,0,0,0
3325,Sanford Westbrook Medical Center,0,0,0
3326,Sanford Wheaton Medical Center,0,0,0
3327,CentraCare - Rice Memorial Hospital,0,0,0
3328,Windom Area Health,0,0,0
3329,Winona Health,0,0,1
3330,Sanford Worthington Medical Center,0,0,0
3331,MercyOne North Iowa Medical Center,0,0,0
3332,MercyOne Des Moines Medical Center,0,0,9
3333,Genesis Medical Center - Davenport,0,0,0
3334,Des Moines VA Medical Center,0,0,0
3335,Select Specialty Hospital-Quad Cities,0,0,0
3336,Monroe County Hospital and Clinics,0,0,0
3337,Kossuth Regional Health Center,0,0,0
3338,Mary Greeley Medical Center,0,0,18
3339,UnityPoint Health - Jones Regional Medical Center,0,0,3
3340,Cass Health,0,0,0
3341,Audubon County Memorial Hospital and Clinics,0,0,0
3342,Iowa Specialty Hospital-Belmond,0,0,0
3343,Davis County Hospital and Clinics,0,0,0
3344,Boone County Hospital,0,0,0
3345,Hancock County Health System,0,0,0
3346,"Southeast Iowa Regional Medical Center, West Burlington Campus",0,0,0
3347,St. Anthony Regional Hospital,0,0,0
3348,MercyOne Cedar Falls Medical Center,0,0,0
3349,Mercy Medical Center - Cedar Rapids,0,0,2
3350,UnityPoint Health - St. Luke's Hospital,0,0,7
3351,MercyOne Centerville Medical Center,0,0,0
3352,Lucas County Health Center,0,0,0
3353,Floyd County Medical Center,0,0,0
3354,Cherokee Mental Health Institute,0,0,0
3355,Cherokee Regional Medical Center,0,0,10
3356,Clarinda Regional Health Center,0,0,0
3357,Iowa Specialty Hospital-Clarion,0,0,0
3358,MercyOne Clinton Medical Center,0,0,1
3359,CHI Health Mercy Corning,0,0,0
3360,Wayne County Hospital and Clinic System,0,0,0
3361,Methodist Jennie Edmundson Hospital,0,0,0
3362,CHI Health Mercy Council Bluffs,0,0,0
3363,Regional Health Services of Howard County,0,0,0
3364,Greater Regional Health,0,0,0
3365,UnityPoint Health - Trinity Bettendorf,0,0,9
3366,WinnMed,0,0,0
3367,Crawford County Memorial Hospital,0,0,0
3368,Broadlawns Medical Center,0,0,0
3369,Select Specialty Hospital-Des Moines,0,0,9
3370,UnityPoint Health - Iowa Methodist Medical Center,0,0,8
3371,MercyOne Clive Rehabilitation Hospital,0,0,0
3372,Mercy Iowa City Rehabilitation Hospital,0,0,2
3373,University of Iowa Health Network Rehabilitation Hospital,0,0,2
3374,Eagle View Behavioral Health,0,0,7
3375,"Genesis Medical Center, DeWitt",0,0,0
3376,UnityPoint Health - Finley Hospital,0,0,6
3377,MercyOne Dubuque Medical Center,0,0,7
3378,MercyOne Dyersville Medical Center,0,0,3
3379,MercyOne Elkader Medical Center,0,0,0
3380,Palo Alto County Health System,0,0,0
3381,Avera Holy Family Hospital,0,0,0
3382,Jefferson County Health Center,0,0,0
3383,UnityPoint Health - Trinity Regional Medical Center,0,0,0
3384,Adair County Health System,0,0,0
3385,UnityPoint Health - Grinnell Regional Medical Center,0,0,0
3386,Grundy County Memorial Hospital,0,0,0
3387,Guthrie County Hospital,0,0,0
3388,Guttenberg Municipal Hospital and Clinics,0,0,1
3389,George C. Grape Community Hospital,0,0,0
3390,Franklin General Hospital,0,0,0
3391,Myrtue Medical Center,0,0,0
3392,Hawarden Regional Healthcare,0,0,0
3393,Humboldt County Memorial Hospital,0,0,0
3394,Horn Memorial Hospital,0,0,0
3395,Independence Mental Health Institute,0,0,1
3396,Buchanan County Health Center,0,0,1
3397,University of Iowa Health Care Medical Center Downtown,0,0,13
3398,University of Iowa Health Care Medical Center,0,0,1
3399,Iowa City VA Health System,0,0,1
3400,Hansen Family Hospital,0,0,0
3401,Greene County Medical Center,0,0,0
3402,Van Buren County Hospital,0,0,0
3403,Knoxville Hospital & Clinics,0,0,1
3404,Stewart Memorial Community Hospital,0,0,0
3405,Floyd Valley Healthcare,0,0,0
3406,Decatur County Hospital,0,0,0
3407,Regional Medical Center,0,0,2
3408,Jackson County Regional Health Center,0,0,0
3409,Compass Memorial Healthcare,0,0,0
3410,UnityPoint Health - Marshalltown,0,0,0
3411,CHI Health Missouri Valley,0,0,0
3412,Henry County Health Center,0,0,0
3413,Ringgold County Hospital,0,0,0
3414,UnityPoint Health - Trinity Muscatine,0,0,7
3415,Story County Medical Center,0,0,0
3416,MercyOne New Hampton Medical Center,0,0,0
3417,MercyOne Newton Medical Center,0,0,0
3418,Iowa Medical and Classification Center,0,0,0
3419,MercyOne Oelwein Medical Center,0,0,0
3420,Burgess Health Center,0,0,2
3421,Orange City Area Health System,0,0,0
3422,Mitchell County Regional Health Center,0,0,0
3423,Clarke County Hospital,0,0,2
3424,Mahaska Health,0,0,0
3425,Ottumwa Regional Health Center,0,0,0
3426,Pella Regional Health Center,0,0,0
3427,Dallas County Hospital,0,0,0
3428,Pocahontas Community Hospital,0,0,0
3429,MercyOne Primghar Medical Center,0,0,0
3430,Montgomery County Memorial Hospital,0,0,0
3431,Hegg Health Center Avera,0,0,0
3432,Loring Hospital,0,0,0
3433,Sanford Sheldon Medical Center,0,0,0
3434,Shenandoah Medical Center,0,0,0
3435,Osceola Regional Health Center,0,0,0
3436,Sioux Center Health,0,0,0
3437,UnityPoint Health - St. Lukes's Sioux City,0,0,5
3438,MercyOne Siouxland Medical Center,0,0,21
3439,Spencer Hospital,0,0,0
3440,Lakes Regional Healthcare,0,0,0
3441,Buena Vista Regional Medical Center,0,0,0
3442,Community Memorial Hospital,0,0,0
3443,Virginia Gay Hospital,0,0,0
3444,Washington County Hospital and Clinics,0,0,0
3445,UnityPoint Health - Allen Hospital,0,0,0
3446,MercyOne Waterloo Medical Center,0,0,0
3447,Veterans Memorial Hospital,0,0,0
3448,Waverly Health Center,0,0,0
3449,Van Diest Medical Center,0,0,1
3450,Gundersen Palmer Lutheran Hospital and Clinics,0,0,0
3451,Madison County Health Care System,0,0,1
3452,Manning Regional Healthcare Center,0,0,0
3453,Keokuk County Health Center,0,0,0
3454,Avera Merrill Pioneer Hospital,0,0,0
3455,Clive Behavioral Health,0,0,6
3456,Saint Luke's North Hospital - Barry Road,0,0,3
3457,Parkland Health Center - Farmington Community,0,0,4
3458,Ellett Memorial Hospital,0,0,0
3459,Freeman Health System,0,0,5
3460,Mosaic Life Care at St. Joseph - Medical Center,0,0,0
3461,Mercy Hospital Aurora,0,0,0
3462,Capital Region Medical Center,0,1,8
3463,Northwest Missouri Psychiatric Rehabilitation Center,0,0,1
3464,Rusk Rehabilitation Hospital,0,0,4
3465,Poplar Bluff Regional Medical Center,0,0,1
3466,The Rehabilitation Institute of St. Louis,0,0,4
3467,Select Specialty Hospital-St. Louis,0,0,13
3468,Ranken Jordan Pediatric Bridge Hospital,0,0,2
3469,Harrison County Community Hospital,0,0,4
3470,Saint Luke's East Hospital,0,0,6
3471,Parkland Health Center-Bonne Terre,0,0,2
3472,Landmark Hospital of Cape Girardeau,0,0,6
3473,Progress West Hospital,0,0,6
3474,Belton Regional Medical Center,0,0,6
3475,Iron County Medical Center,0,0,0
3476,Centerpoint Medical Center,0,0,2
3477,Mercy Rehabilitation Hospital St. Louis,0,0,17
3478,Landmark Hospital of Joplin,0,0,1
3479,Kindred Hospital Northland,0,0,0
3480,Select Specialty Hospital-Springfield,0,0,8
3481,Cox Medical Center Branson,0,0,5
3482,Bates County Memorial Hospital,0,0,0
3483,Citizens Memorial Hospital,0,0,0
3484,Cameron Regional Medical Center,0,0,1
3485,St. Mary's Medical Center,0,0,7
3486,Saint Francis Medical Center,0,0,6
3487,St. Luke's Hospital,0,1,9
3488,Mercy Hospital Southeast,0,0,2
3489,Carroll County Memorial Hospital,0,0,0
3490,Mercy Hospital Carthage,0,0,2
3491,Hedrick Medical Center,0,0,0
3492,"Long-Term Acute Care Hospital, Mosaic Life Care at St. Joseph",0,0,0
3493,Golden Valley Memorial Healthcare,0,0,2
3494,Boone Hospital Center,0,0,1
3495,University Hospital,0,0,21
3496,Cedar County Memorial Hospital,0,0,0
3497,Mercy Hospital Stoddard,0,0,0
3498,Excelsior Springs Hospital,0,0,0
3499,Harry S. Truman Memorial Veterans' Hospital,0,0,21
3500,St. Luke's Rehabilitation Hospital,0,0,0
3501,Community Hospital-Fairfax,0,0,0
3502,Landmark Hospital of Columbia,0,0,0
3503,Southeast Missouri Mental Health Center,0,0,5
3504,Christian Hospital,0,0,3
3505,Mercy Hospital Jefferson,0,0,2
3506,General Leonard Wood Army Community Hospital,0,0,4
3507,Madison Medical Center,0,0,1
3508,Fulton State Hospital,0,0,0
3509,Hannibal Regional Hospital,0,0,2
3510,Cass Regional Medical Center,0,0,7
3511,Pemiscot Memorial Health System,0,0,1
3512,John J. Cochran Veterans Hospital,0,0,0
3513,SSM Health St. Mary's Hospital - Jefferson City,0,0,1
3514,Mercy Hospital Joplin,0,0,7
3515,Children's Mercy Kansas City,0,1,38
3516,University Health-Truman Medical Center,0,1,37
3517,University Health-Lakewood Medical Center,0,0,0
3518,Research Medical Center,0,0,6
3519,St. Joseph Medical Center,0,0,11
3520,SSM Select Rehabilitation Hospital,0,0,2
3521,Saint Luke's Hospital of Kansas City,0,0,0
3522,Signature Psychiatric Hospital,0,0,1
3523,Mercy Rehabilition Hospital Springfield,0,0,8
3524,Kansas City VA Medical Center,0,0,2
3525,SSM Health St. Clare Hospital - Fenton,0,0,2
3526,SSM Health St. Joseph Hospital - Lake Saint Louis,0,0,9
3527,Cox Barton County Memorial Hospital,0,0,1
3528,Mercy Hospital Lebanon,0,0,4
3529,Lafayette Regional Health Center,0,0,0
3530,Lee's Summit Medical Center,0,0,1
3531,Liberty Hospital,0,0,5
3532,Samaritan Hospital,0,0,1
3533,Fitzgibbon Hospital,0,0,0
3534,Mosaic Medical Center - Maryville,0,0,0
3535,Scotland County Hospital,0,0,0
3536,Cox Monett Hospital,0,0,0
3537,Mercy St. Francis Hospital,0,0,1
3538,Freeman Neosho Hospital,0,0,5
3539,Nevada Regional Medical Center,0,0,3
3540,Heartland Behavioral Health Services,0,0,1
3541,North Kansas City Hospital,0,0,2
3542,Lake Regional Health System,0,0,0
3543,Perry County Memorial Hospital,0,0,0
3544,John J. Pershing Veterans' Administration Medical Center,0,0,0
3545,Washington County Memorial Hospital,0,0,0
3546,Ray County Memorial Hospital,0,0,0
3547,Phelps Health,0,0,20
3548,SSM Health St. Joseph - St. Charles,0,0,13
3549,CenterPointe Hospital,0,0,0
3550,Barnes-Jewish Hospital,0,0,5
3551,Ste. Genevieve County Memorial Hospital,0,0,0
3552,SSM Health Cardinal Glennon Children's Hospital,0,0,10
3553,SSM Health DePaul Hospital - St. Louis,0,1,11
3554,SSM Health St. Mary's Hospital - St. Louis,0,0,2
3555,Barnes-Jewish West County Hospital,0,0,0
3556,SSM Health Saint Louis University Hospital,0,0,7
3557,Metropolitan St. Louis Psychiatric Center,0,0,0
3558,Missouri Baptist Medical Center,0,0,12
3559,Kindred Hospital-St. Louis,0,0,3
3560,Mercy Hospital South,0,0,8
3561,Mercy Hospital St. Louis,0,0,9
3562,St. Louis Children's Hospital,0,0,4
3563,St. Louis Forensic Treatment Center,0,0,0
3564,Hawthorn Children Psychiatric Hospital,0,0,0
3565,Shriners Hospitals for Children-St. Louis,0,0,5
3566,Barnes-Jewish St. Peters Hospital,0,0,8
3567,Salem Memorial District Hospital,0,0,0
3568,Bothwell Regional Health Center,0,0,0
3569,Missouri Delta Medical Center,0,0,1
3570,Cox Medical Centers,0,0,3
3571,Mercy Hospital Springfield,0,0,8
3572,Lakeland Behavioral Health System,0,0,12
3573,Missouri Baptist Sullivan Hospital,0,0,1
3574,Mercy Hospital Lincoln,0,0,3
3575,Wright Memorial Hospital,0,0,0
3576,Western Missouri Medical Center,0,0,1
3577,Mercy Hospital Washington,0,0,0
3578,Northeast Regional Medical Center,0,0,0
3579,Ozarks Healthcare,0,0,0
3580,Mosaic Medical Center - Albany,0,0,0
3581,Pershing Memorial Hospital,0,0,0
3582,Mercy Hospital Cassville,0,0,0
3583,Hermann Area District Hospital,0,0,0
3584,Texas County Memorial Hospital,0,0,0
3585,Center for Behavioral Medicine,0,0,33
3586,Pike County Memorial Hospital,0,0,0
3587,Sullivan County Memorial Hospital,0,0,1
3588,Moberly Regional Medical Center,0,0,0
3589,St. Luke's Des Peres Hospital,0,0,15
